Run_ID,Response
AU565_BREAST,0
BT20_BREAST,0
BT474_BREAST,1
BT549_BREAST,0
CAL148_BREAST,0
CAL51_BREAST,0
CAL851_BREAST,0
CAMA1_BREAST,0
DU4475_BREAST,1
HCC1143_BREAST,0
HCC1395_BREAST,0
HCC1419_BREAST,0
HCC1428_BREAST,0
HCC1500_BREAST,1
HCC1806_BREAST,0
HCC1937_BREAST,0
HCC1954_BREAST,0
HCC202_BREAST,0
HCC2218_BREAST,1
HCC38_BREAST,0
HDQP1_BREAST,0
HMC18_BREAST,1
HS578T_BREAST,1
JIMT1_BREAST,0
KPL1_BREAST,0
MCF7_BREAST,0
MDAMB157_BREAST,1
MDAMB231_BREAST,0
MDAMB361_BREAST,0
MDAMB453_BREAST,1
MDAMB468_BREAST,1
SKBR3_BREAST,0
T47D_BREAST,0
UACC812_BREAST,0
ZR751_BREAST,0
ZR7530_BREAST,0
