geneID	string_protein_id	propagate_scores
CTLA4	9606.ENSP00000497102	0.07970256799897353
PDCD1	9606.ENSP00000335062	0.0786710634831805
CD8A	9606.ENSP00000386559	0.005358912599016333
CD4	9606.ENSP00000011653	0.005188227505494803
IFNG	9606.ENSP00000229135	0.0043114827492924425
TNF	9606.ENSP00000398698	0.004030214882506947
CD28	9606.ENSP00000324890	0.003930945360075203
IL2	9606.ENSP00000226730	0.003845848759465768
IL10	9606.ENSP00000412237	0.003771065245519369
CD274	9606.ENSP00000370989	0.0037697161491951183
ICOS	9606.ENSP00000319476	0.0035713580352925147
LAG3	9606.ENSP00000203629	0.0035570797197486794
HAVCR2	9606.ENSP00000312002	0.003537069646443545
CD86	9606.ENSP00000332049	0.003479805701378868
CD80	9606.ENSP00000264246	0.003475025576657198
TIGIT	9606.ENSP00000419085	0.003326413761814538
TNFRSF9	9606.ENSP00000478699	0.0031853230361859625
CD19	9606.ENSP00000313419	0.003125139002385891
FCGR3A	9606.ENSP00000356946	0.0030689387022475867
CD40LG	9606.ENSP00000359663	0.0030516938479606434
FOXP3	9606.ENSP00000365380	0.003026119461016347
CD247	9606.ENSP00000354782	0.0029117792227037385
PTPRC	9606.ENSP00000411355	0.0028671434721545585
GZMB	9606.ENSP00000216341	0.0028541537473695177
BTLA	9606.ENSP00000333919	0.0028261407667678467
EGFR	9606.ENSP00000275493	0.002824304051549493
PDCD1LG2	9606.ENSP00000380855	0.0028190827707265877
TNFRSF14	9606.ENSP00000347948	0.002792334918048031
PRF1	9606.ENSP00000398568	0.0027612359444532004
TNFRSF4	9606.ENSP00000368538	0.0027462823733215547
IL6	9606.ENSP00000385675	0.002728157251575538
IL17A	9606.ENSP00000497968	0.0026988019408993678
CD27	9606.ENSP00000266557	0.0026856061480578204
LCK	9606.ENSP00000477713	0.0026741199735523876
PTPN11	9606.ENSP00000489597	0.0026662585992740873
TNFRSF18	9606.ENSP00000328207	0.0026261604514545693
TBX21	9606.ENSP00000177694	0.002571795333680781
IL2RA	9606.ENSP00000369293	0.0025243124513588894
CD276	9606.ENSP00000320084	0.0025185394448866303
CXCR3	9606.ENSP00000362795	0.002456189282560733
ICOSLG	9606.ENSP00000339477	0.0024083579640239213
IDO1	9606.ENSP00000430950	0.002393365688452887
LGALS9	9606.ENSP00000378856	0.0023760257322890687
KLRC1	9606.ENSP00000438038	0.0023422352506537597
FASLG	9606.ENSP00000356694	0.002302786726897237
CD38	9606.ENSP00000226279	0.002296425585529453
CD40	9606.ENSP00000361359	0.002294389013824283
FCGR3B	9606.ENSP00000433642	0.0022708785407208887
GZMA	9606.ENSP00000274306	0.0022618548141865318
ZAP70	9606.ENSP00000264972	0.002250346007626101
CCR7	9606.ENSP00000246657	0.0022015395180143855
KLRK1	9606.ENSP00000240618	0.002165364843936548
CD68	9606.ENSP00000250092	0.0021277716516397475
PTPN6	9606.ENSP00000391592	0.0021256466179228823
IL4	9606.ENSP00000231449	0.0021254116833783103
CD2	9606.ENSP00000358490	0.002114255558779573
PVR	9606.ENSP00000402060	0.0021000088672717973
CD3E	9606.ENSP00000354566	0.002053392237416099
IL7R	9606.ENSP00000306157	0.0020149424805822316
HLA-DRB1	9606.ENSP00000353099	0.002003923344646553
LGALS9C	9606.ENSP00000329932	0.0019852198425174654
VTCN1	9606.ENSP00000358470	0.001976835890356692
CD160	9606.ENSP00000358294	0.0019718793638168605
LGALS9B	9606.ENSP00000315564	0.0019458060575049448
CD5	9606.ENSP00000342681	0.0018772619324739404
CXCL10	9606.ENSP00000305651	0.0018669489386721019
CSF2	9606.ENSP00000296871	0.001800250007173971
CXCR5	9606.ENSP00000292174	0.0017885867181443873
STAT1	9606.ENSP00000354394	0.0017885568997016215
KLRD1	9606.ENSP00000338130	0.0017868676460352625
IL2RB	9606.ENSP00000216223	0.0017807239357258546
SRC	9606.ENSP00000362680	0.001779112111864371
ITGAX	9606.ENSP00000454623	0.001765202034161814
CD69	9606.ENSP00000228434	0.001764023791369067
MTUS1	9606.ENSP00000262102	0.0017603713931975988
MTUS2	9606.ENSP00000498251	0.0017478734877426148
SELL	9606.ENSP00000498227	0.0017084200230275668
CD3D	9606.ENSP00000300692	0.0016677749086870261
TNFSF4	9606.ENSP00000281834	0.001625470796672239
AKT1	9606.ENSP00000451828	0.0016230970133803695
IL1B	9606.ENSP00000263341	0.0016101533330596376
KLRG1	9606.ENSP00000266551	0.0015660934915596295
CD44	9606.ENSP00000398632	0.0015497985018693588
ICAM1	9606.ENSP00000264832	0.0015484086196705413
CD3G	9606.ENSP00000431445	0.0015482598044561549
HLA-DRA	9606.ENSP00000378786	0.0015242232421118138
FYN	9606.ENSP00000346671	0.001481982646763421
CXCL9	9606.ENSP00000354901	0.0014434892221128317
STAT3	9606.ENSP00000264657	0.0014247097963310785
CCR2	9606.ENSP00000292301	0.0013844920761982085
PIK3R1	9606.ENSP00000428056	0.0013616632216298882
ITGAM	9606.ENSP00000496959	0.001357620851333426
JAK3	9606.ENSP00000432511	0.0013489668077135775
CD47	9606.ENSP00000355361	0.0013300205219295745
IGKV1-33	9606.ENSP00000479032	0.0012963409220182243
INS	9606.ENSP00000380432	0.0012950254545256816
IGKV1D-33	9606.ENSP00000482678	0.0012673637550293662
CD70	9606.ENSP00000395294	0.0012646366592348733
STAT5A	9606.ENSP00000341208	0.0012506469721982345
LYN	9606.ENSP00000428924	0.0012498302290558838
CXCR6	9606.ENSP00000395704	0.0012167893464950631
IGKV2D-29	9606.ENSP00000483567	0.0012069961976375043
STAT5B	9606.ENSP00000293328	0.001206906577175621
ITK	9606.ENSP00000398655	0.001198423563277154
CCR5	9606.ENSP00000292303	0.001194110063836843
TNFSF18	9606.ENSP00000385470	0.0011909883860986754
NECTIN2	9606.ENSP00000252483	0.001189573838918664
ITGAE	9606.ENSP00000263087	0.0011534393602777603
IGKV2D-28	9606.ENSP00000452662	0.0011406547575850221
IL15	9606.ENSP00000296545	0.0011350068673431897
CCL5	9606.ENSP00000474412	0.0011335390680713225
LGALS3	9606.ENSP00000254301	0.001122336881857615
CCL22	9606.ENSP00000219235	0.0011205023308368297
TP53	9606.ENSP00000269305	0.0011198120808274853
IDO2	9606.ENSP00000443432	0.0011185183196387037
FCGR1A	9606.ENSP00000358165	0.0011018693932609927
CCL2	9606.ENSP00000225831	0.0010948573340464106
IL10RA	9606.ENSP00000227752	0.0010780877506761002
RUNX1	9606.ENSP00000300305	0.001060262666074524
CXCR4	9606.ENSP00000386884	0.0010384290373318397
TLR4	9606.ENSP00000363089	0.0010347044130405195
CXCL8	9606.ENSP00000306512	0.0010307968482782582
NCR1	9606.ENSP00000291890	0.0010226918522812252
SYK	9606.ENSP00000364898	0.0010213034805585867
GRB2	9606.ENSP00000376345	0.0010151375783118127
BATF	9606.ENSP00000286639	0.0010074916345598182
HLA-DQA1	9606.ENSP00000339398	0.0010028522968282456
CD96	9606.ENSP00000283285	0.0010020995743745252
NCAM1	9606.ENSP00000480132	0.0010001128962312407
TMIGD2	9606.ENSP00000301272	0.0009938990778019451
JAK2	9606.ENSP00000371067	0.0009748468254198526
IL13	9606.ENSP00000304915	0.0009623852122439744
GATA3	9606.ENSP00000368632	0.0009596824127669966
CD48	9606.ENSP00000484431	0.0009470981289085635
SPDL1	9606.ENSP00000265295	0.0009400896012570256
SIRPA	9606.ENSP00000478763	0.0009382684457898243
HLA-C	9606.ENSP00000365402	0.0009371103131546517
TNFSF9	9606.ENSP00000245817	0.000931295579529775
PTPN22	9606.ENSP00000352833	0.0009236732188764281
ENTPD1	9606.ENSP00000360250	0.0009194277546294925
HLA-A	9606.ENSP00000379873	0.0009145762559915733
TNFRSF1A	9606.ENSP00000162749	0.0008939886117905173
FAM3C	9606.ENSP00000353025	0.0008889640745590102
HLA-E	9606.ENSP00000365817	0.0008888868921643683
B2M	9606.ENSP00000497910	0.0008835817371924355
IGLL5	9606.ENSP00000431254	0.0008748825686095933
NFKB1	9606.ENSP00000226574	0.0008724142657372124
IFNA1	9606.ENSP00000276927	0.0008625068540283792
FN1	9606.ENSP00000346839	0.0008618111074734655
ERBB2	9606.ENSP00000269571	0.0008566231592766525
CBFB	9606.ENSP00000415151	0.0008501547664976533
TYROBP	9606.ENSP00000262629	0.0008429469841766747
ALB	9606.ENSP00000295897	0.0008372390075576045
HHLA2	9606.ENSP00000350402	0.0008300554986810199
CD58	9606.ENSP00000358501	0.0008298824411526157
JAK1	9606.ENSP00000499900	0.0008182354723401744
IL5	9606.ENSP00000231454	0.0008156685720064216
CCR6	9606.ENSP00000343952	0.0008116430483481068
IL1A	9606.ENSP00000263339	0.0008059995281680808
IL7	9606.ENSP00000263851	0.0008024616949648002
ITGB2	9606.ENSP00000380948	0.0007890175036887389
BRAF	9606.ENSP00000419060	0.000775263601819838
CCL4	9606.ENSP00000482259	0.0007668677339731114
LCN2	9606.ENSP00000362108	0.0007555078824450255
CTNNB1	9606.ENSP00000495360	0.0007514612011083652
LAMP1	9606.ENSP00000333298	0.0007487443114552877
TLR2	9606.ENSP00000260010	0.0007486396318148025
BCL2	9606.ENSP00000381185	0.0007449605058264824
KIT	9606.ENSP00000288135	0.000743387829425099
AKT3	9606.ENSP00000500582	0.0007412501294905426
KLRB1	9606.ENSP00000229402	0.0007381200748592119
CSF3	9606.ENSP00000225474	0.0007369965930942067
CXCL12	9606.ENSP00000379140	0.000731041860571034
NCR3	9606.ENSP00000342156	0.0007300102429682814
CX3CR1	9606.ENSP00000351059	0.0007068410657394702
CCL3	9606.ENSP00000477908	0.0007055886690618382
IGHV3OR16-9	9606.ENSP00000475107	0.0007053550473521085
EGF	9606.ENSP00000265171	0.000700055063797843
TNFRSF8	9606.ENSP00000263932	0.0006995328508421478
IFNB1	9606.ENSP00000369581	0.0006961310796322915
TSHR	9606.ENSP00000441235	0.0006934988906709805
CD226	9606.ENSP00000461947	0.000691845882192327
AP2M1	9606.ENSP00000403362	0.0006909114966720548
HLA-B	9606.ENSP00000399168	0.0006856644212537712
PMEL	9606.ENSP00000402758	0.0006820838317880281
CD34	9606.ENSP00000310036	0.0006775175063288744
TGFB1	9606.ENSP00000221930	0.0006682192219419982
CD84	9606.ENSP00000312367	0.0006642077985101768
IL22	9606.ENSP00000442424	0.0006635168700644702
LCP2	9606.ENSP00000046794	0.0006438424817545474
CXCL1	9606.ENSP00000379110	0.0006438173107282415
ITGAL	9606.ENSP00000349252	0.0006420595919496967
GZMK	9606.ENSP00000231009	0.0006409157935326137
PIK3CA	9606.ENSP00000263967	0.0006363599732597051
CSF1R	9606.ENSP00000286301	0.0006354386805610641
FCER1G	9606.ENSP00000289902	0.0006249034692487107
TYK2	9606.ENSP00000431885	0.0006130451772399201
KLRC2	9606.ENSP00000371327	0.0006126158552047055
IL4R	9606.ENSP00000379111	0.0006017181729011161
HLA-G	9606.ENSP00000366024	0.000600621108087352
CXCR2	9606.ENSP00000319635	0.0005971445106914728
LRBA	9606.ENSP00000349629	0.0005931448495662372
TNFSF13B	9606.ENSP00000365048	0.0005920700899815827
SH2D1A	9606.ENSP00000360181	0.0005905988385437977
IL9	9606.ENSP00000274520	0.0005878110419222396
IL3	9606.ENSP00000296870	0.0005852823347098071
IL6R	9606.ENSP00000357470	0.0005851853940969753
FCGR2B	9606.ENSP00000351497	0.0005824431811477329
MYD88	9606.ENSP00000498321	0.0005788472165412053
ACTB	9606.ENSP00000494750	0.0005780069564435708
CCR1	9606.ENSP00000296140	0.0005765790766248626
MYC	9606.ENSP00000478887	0.0005762524433581385
ITGB1	9606.ENSP00000379350	0.0005719922046768124
HSP90AA1	9606.ENSP00000335153	0.0005712878106109305
IL2RG	9606.ENSP00000363318	0.0005665527683428257
CCL11	9606.ENSP00000302234	0.0005608392988255377
CD163	9606.ENSP00000352071	0.0005598472352167387
TRAF6	9606.ENSP00000433623	0.00055889803671579
IL18	9606.ENSP00000280357	0.0005586591950906876
JUN	9606.ENSP00000360266	0.0005585994454642682
CCR3	9606.ENSP00000441600	0.0005551350427424351
SHC1	9606.ENSP00000401303	0.0005527168629777845
PDGFRA	9606.ENSP00000257290	0.0005524831778752371
VAV1	9606.ENSP00000472929	0.0005524287011224507
IL3RA	9606.ENSP00000327890	0.0005511274078758537
MMP9	9606.ENSP00000361405	0.0005500928049815727
CXCL13	9606.ENSP00000286758	0.0005492234834218254
PECAM1	9606.ENSP00000457421	0.0005489627365077563
PIK3R2	9606.ENSP00000222254	0.0005480269052780848
CX3CL1	9606.ENSP00000006053	0.00054725194422835
MAPK3	9606.ENSP00000263025	0.000541041835864525
PIK3CB	9606.ENSP00000501150	0.0005410240518724688
PDGFRB	9606.ENSP00000261799	0.0005404735339074864
CCL19	9606.ENSP00000308815	0.0005380996596442551
CXCL11	9606.ENSP00000306884	0.00053700037637334
CCL20	9606.ENSP00000351671	0.0005322950600312259
CCL17	9606.ENSP00000219244	0.0005297775176749299
GNB1	9606.ENSP00000367872	0.0005295466018149169
PLCG1	9606.ENSP00000244007	0.0005287257927417708
KRAS	9606.ENSP00000256078	0.0005278304824191503
CD1C	9606.ENSP00000357152	0.0005242385790604659
PIK3CD	9606.ENSP00000366563	0.0005237451418451494
TRAF2	9606.ENSP00000247668	0.0005212773548737862
CD79A	9606.ENSP00000221972	0.0005192722295754813
PIK3R3	9606.ENSP00000262741	0.0005183071868690378
TLR9	9606.ENSP00000353874	0.000516364205753425
CCRL2	9606.ENSP00000349967	0.0005105579368223284
CLEC7A	9606.ENSP00000302569	0.0005071481790908963
HLA-DPA1	9606.ENSP00000393566	0.0005069617659193676
IFNA2	9606.ENSP00000369554	0.0005055488750110382
TRAF3	9606.ENSP00000376500	0.0005050234609433915
GAPDH	9606.ENSP00000380070	0.0005047713334215397
CD33	9606.ENSP00000262262	0.0005032576153604884
CXCL2	9606.ENSP00000427279	0.00049658148168834
CCR9	9606.ENSP00000350256	0.0004963163862474972
CXCR1	9606.ENSP00000295683	0.000493314558825038
CD36	9606.ENSP00000415743	0.0004880986246492644
CCR8	9606.ENSP00000326432	0.0004867042739209584
HLA-DQB1	9606.ENSP00000364080	0.00048628244084245146
TSLP	9606.ENSP00000339804	0.00048342325309554503
CASP3	9606.ENSP00000311032	0.00048335434561144167
CD22	9606.ENSP00000085219	0.00048165659755349454
CCL21	9606.ENSP00000259607	0.0004808495593855122
STAT6	9606.ENSP00000300134	0.00048070710691162303
B3GAT1	9606.ENSP00000433847	0.00047972358576394894
EP300	9606.ENSP00000263253	0.0004791450936301434
HRAS	9606.ENSP00000407586	0.00047807636568953835
VCAM1	9606.ENSP00000294728	0.0004763452963436082
RHOA	9606.ENSP00000400175	0.0004758366790890697
IFNGR1	9606.ENSP00000356713	0.0004706931131943074
IL21R	9606.ENSP00000338010	0.000468794302112013
HLA-F	9606.ENSP00000259951	0.0004659450757400849
CBL	9606.ENSP00000264033	0.00046480874631067834
PLCG2	9606.ENSP00000482457	0.00046378329881428983
NCR2	9606.ENSP00000362181	0.00046359124522842574
KIR2DL1	9606.ENSP00000336769	0.0004629776113677413
KDR	9606.ENSP00000263923	0.0004606891894059406
KIR3DL3	9606.ENSP00000291860	0.00045949999395626385
EOMES	9606.ENSP00000388620	0.00045605004485035406
GNAQ	9606.ENSP00000286548	0.0004556884261681381
FAS	9606.ENSP00000498466	0.00045410331416925655
CXCL5	9606.ENSP00000296027	0.0004531491853225167
SDC1	9606.ENSP00000370542	0.0004520631474125004
